Nama Akun,Ulasan
Rizka,"Bagus banget suka, enak dibibir dan warna bagus"
y***n,"cakepp, nude seperti yg diinginkan... dapet murce juga cuma 38k, thanks makeover"
w***a,"bahannya ringan, awet di bibir, harga dapat banyak bonus... Trims seller"
N***l,produk nya sudah pasti bagus
Indah,"warnanya bagus, ringan diaplikasikan ke bibir, pengiriman pakai bubble wrap, jadi barang sampai dengan selamat"
Riska,Bagusss
lailatu,"ga bikin kering di bibir, warnanya pas bgt yg aku pengen. cocok buat base ombre warna bibir banget tp sebenernya warnanya lebih pucet dari bibir aku aslii tapi overall bagus, aku akan coba pake besok mau liat ketahanannya. buat packaging nya super aman, pakai kardus bublewarp super tebel, mau dibanting aja gabakal rusak produknya. thanks"
Diana,Patah dalemnya lepas2 gtu yaudahlah gimana lagi
R***i,Pengiriman sangat cepat. Barang ori. Senengnya dapat potongan dri tokped. Mantap lah 👍👍
heni,terima kasih packing nya oke lo
A***a,"memang cepat hilang, tapi okelahh karna penasaran dari lama. untung sampe aman ga patah"
C,"rapi packing nya , tks sesuai pesanan"
A***u,Favoriteee bggttt
kiki,repurchase lagi.. bela²in beli online krn di Store 100an ya bun🤣 unt tekstur lembut walaupun matte finish. tp kdg gampang memudar jd harus reapply. dan blake itu paling cocok di kulit sawo matang no debattt
n***a,mantaaabbbvvbb
F***i,suka buat base ombre tp warnanya emng agak kurang keluar harus di apply berkali-kali
Khumaira,"kamesannya cskep bener, good job dsh"
RAJA,"perfect, pesanan datang tanpa cacat. packingan super safety. bestseller lah👍"
L***o,"sesuai deskripsi, mantap"
yugo,"barang nya bagus Dan sesuai, terima kasih"
alin,"cantik, warna yg aq cari buat harian 👍👍👍"
S***a,S***a
M***a,👌🏻
T***y,"warna favorit buat base ombre, luv bgt makeover. walaupun itu ujungnya tercuil dikit tpp gpp"
w***a,"warna : nude pink, lebih cocok buat base kalo mau ombre (note : me, karena kulitnya zawo matang, terlalu pucat kalo tidak di ombre)"
A***g,A***g
Ratih,"Respon cepat, pengiriman juga cepat. Packingnya ok banget."
S***i,Bagus banget 😍
L***a,"Pencarian panjangku untuk warna lipstik yg cocok di bibirku akhirnya berakhir sudah. Warnanya cocok banget sama warna kulit, bahannya ringan serasa ga pake lipstik dan yang jelas transfer proof. Tinggal uji makan kena lemak tahan lama atau enggak. Marinkita coba"
K***l,"Produk sesuai pesanan, pengiriman cepat dan aman."
i***a,"udah repurchase beberapa kali, dan emang best buat base ombre, cmn dia transfer dan ngga tahan lama aja sih, but love bgt sama lip products ini"
Niken,"Warna bagus, exp date masih lama (2026), packing rapi dan aman, respon cepat hanya lama di pengiriman, terima kasih"
m***a,pokoknya TOP BANGET ❤️❤️❤️
siswo,respon penjual cepat .. cocok
N***g,produck ori thx seller
Siti,recommended 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
M***a,Barang ori dan packing rapi Pengiriman sesuai estimasi
R***a,bagus
Ratih,BARANG BAGUS
w***n,warnanya bagus....tapi sayang saat dibuka lipstiknya patah krn tutupnya tnyta lepas.. tp masih bisa di gunakan.
A***a,"Bahannya creamy, warna nya cocok untuk jdi base ombre lips pengirimannya juga cepat. Ok banget pokonya"
Fibyanda,👍👍👍dibonusin wardah crystallure booster
Afifah,bagus sih cuma kurang lembab d bibir
A***a,A***a
R***A,thanks you make over
Taira,"Sampe dengan selamat, belom di coba sih semoga cucok"
IMP,"packagingnya aman, product ori"
meita,"Lumayan, walau kurang pigmented menurut saya yg bibirnya gelap. Terus ini baru 2x pake udah patah. Padahal pemakaian biasa ga diputer keluar jg. Hikss.."
A***a,"Bagus banget sih ini, dapat potongan harga lagi"
Rika,bagus bgt. pengirian cepat
N***a,Wooww bagus bgt. Creamy!! Semoga awet yaaah .. blm coba pake lama nih. Tp makeover biasanya ga pernah kecewain siiih... 😍😍
Fahmi,"yo ndak mampu aku dudu spek idamanmu, owalah *** ***"
S***i,ok mantap
Endang,oke sesuai pesanan
faisal,faisal
H***a,"Aaaahhhhh kecewa, warnanya pas d pakai tidak seperti yg d poto...aslinya pas d pakai malah seperti pink k ungu2an gini ..bukan merah.."
aminatussadiah,bagus nyaman di pakai tentunya cocon buat obre
S***i,S***i
Tresya,bagus buat base ombre
A***o,"pesanan cepat nyampai, dipakai ringan dan lembut"
V***y,"proses cepat, barang kondisi baik, pengemasan aman tks seller"
Ria,"Wah saya sudah pake lipstik make over enak, lembut dan dibibir juga nggak kaki, saya suka dan nggak nyesel belinya."
i***a,Warnanya cantikkk bgt dan pigmented.. klo tahan lama atau transferproof sih gatau ya
D***i,Kayanya aku gaperlu cantumin foto after pemakaiannya karna kalian udah tau sendiri kan guys sebagus apa warna 105 sky ini😍.. Cuma mau ngasih tau kalo aku cuma bayar 36ribu buat dapetin lipcream viral ini🥹 Aku cinta tokopedia🫶🏻
dwi,"warna bagus, sesuai pesanan. mksh."
S***i,masyallaahh..manis bangettt warnanyaaa.. ringan di bibir.. yaa...harga memang tidak bisa di bohongi.hhee
M***a,"Sebenernya bagus, tp kurang cocok di saya mungkin karena setelah pemakaian agak kering di bibir. Mau coba variant lain yang lebih lembab. Ditunggu Flashsalenya. Terimakasih"
A***l,mantep dpt harga diskon gokil🥰
M***a,"Barang sesuai deskripsi, paket saya terima dlm keadaan segel terbuka, untung isinya aman"
Rahma,packing rapi & aman 👍
Sianny,"pengiriman cepat, admin ramah, expired masih tahun depan"
D***i,barang sudah sampai sesuai pesanan. terimakasih👍
S***n,cakep bangett
Sri,Sesuai pesanan terima kasih
F***a,"Bagus. Warnanya tahan lama, dan ga bikin kering di bibir. Pemakaiannya juga praktis."
Rani,Too bad lip crayonnya yg katanya matte malah oily banget Better matte lip creamnya wardah yg transferproofnya ga lama setelah aplikasi
gita,gita
A***a,Enak bgt dan warnanya juga bagus bgt
Bozong,"suka suka suka...akhirnya nemu lipstik yg warnanya cocok bgt, pink nya pas, g pucet ga menor.. semoga awet dan tahan lama, bermanfaat dan terhidar dari keburukannya..."
S***i,favorit colour
caroline,Pesanan saya sdh sampai dengan cepat dan packing yang sangat aman...terimakasih
w***y,Dapet harga diskon jadi 48Rb so happy ❤️
P***i,"Sudah diterima dengan baik, terimakasih."
Novita,"udah kesekian kali pakai Color Stick Matte Crayon yg terfavorit warna Iris102... Brooklyn juga Ok,Blake dan Skype juga Ok tapi paling suka Iris dan Brooklyn..ok banget,ga kering di bibir padahal Matte ,type bibir sy mudah kering,jadi ini Highlye recommended deh ..salut"
K***a,"Alhamdulillah pas nyampe barangnya aman dan tidak patah sama sekali isinya. Warnanya cantik banget si bentuk love yang kecil di compare sama lipstik sebelumnya yang lebih glossy, pinknya agak jauh lebih light tapi ga bikin pucat dan malah keliatan seger dimuka. Terima kasih Make Over pertama kali beli engga ngecewain 🤍"
A***i,Teksturnya lembut enak dipakai .. warna juga cantik
Yulistia,Yulistia
Herlina,Ok deh 👍👍👍
N***a,"tekstur ok, warna sesuai. produk mave over emang selalu tokcerr"
Ulin,"warnanya soft, tidak terlalu mencolok/ngejreng"
Novie,"Warnanya cantik. Tidak buat kering walaupun Matte finish. Look akhir spt lipstik Matte, terlihat garis bibir. Aplikasinya mudah spt crayon. Tdk mudah patah. Lagi sale jg. Puas. Pengiriman sesuai waktu, packing aman. Thx."
ratna,"keren, bagus banget produk ini"
M***y,"sudah diterima dengan kondisi baik, packing rapi, produk bagus, sayang kurirnya kurang, paket main dilempar aja, nyasar pula ke tetangga."
Budd,cocok d kulit gelapku
N***k,"cantiiiiik n praktis crayon lipnya buat dibawa sehari-hari, packing nya rapi dan aman menggunakan bubble wrap, response seller nya cepat, terima kasih🎀"
Ratih,BARANG BAGUS
Dian,my fav lip
Azizah,Azizah
Wahyu,"Bagussss, ringan di pakai. Terima kasih"
Eka,warnany cakepp n wlopun matte tp gk bikin bibir kerinf
R***i,keren....suka warnanya
yuanita,yuanita
deisy,pengiriman tepat waktu. warnanya oke
A***u,"bagusss bangett, recommended buat ombre"
D***e,bagus banget
Agnes,warnanya bagus natural.thanks
A***i,Patah
Lisna,tekstur nya oke banget di bibir
Eni,"packing super mantap, warna suka bgt soft tp tdk pucat"
L***t,ringan
A***a,paket sudah sampai. aman. lipsticknya lembut di bibir. tapi memang gampang ilang.
S***a,lipstiknya patah didalem
Ni,warnanya soft cakep. dpt promo harga
Evi,👍
O***a,Good
Ari,"Warnanya nude bgt, cocok buat base ombre. Mudah2an cocok di bibir aku"
giscard,dapet bonus foundation dooonnk....... terima kasiih banyak makeover
P***T,"secinta itu sama stick crayon nya, gak buat bibir kering malah ini melembabkan dan gak cepet hilang warnanya, terimakasih gift nya bakal makin sering beli di sini"
Hilma,pesanan sesuai dpt harga diskon terima kasih
A***a,cocok banget dengan warnanya..... pengiriman sesuai pesanan dan dpt bonus liquid foundation. Tks.
Nur,oke
yuli,make over ga prnah gagal di bibir. warna nya jg bagus. Matte & cakepp
Diana,Bagus bgt
Jasmine,sangat bagus.. aku suka sekali.. boleh beli
Adistha,terbaik suka banget emang sama produk make over ini
Nurbaeti,Nurbaeti
Monica,"bahanya ringan tidak bikin kering dibibirr, tapi produknya patah sejak awal pemakaian"
N***a,"Warnanya kalem, kurang jreng..hehehe.. Sesuai gambar dan deskripsi. Makasih Seller, Tokped dan Kurir"
erlina,warna cantik soft mantap
N***k,Good product
Devi,"pengiriman cepat,warna bagus dan sesuai"
M***i,"pengiriman cepat. Produk ringan, lembut dan lembab dibibir"
fredy,mantaaaaapp
S***y,bagus tapi bikin bibir kering
Aris,"produk ok,tanks"
Hasna,"agak lama sampenya, tp suka sama stick matte crayon ini 😍"
Lucia,packing aman. lipstick matte dan transfer proof.
Anggoro,Anggoro
thenezzia,mantap
D***h,"Teksturnya lembut banget, creamy dan gampang di apply. Warnanya cenderung ke warm undertone untuk shade yang aku beli. jadi lebih cocok sama lip cream yg nude/warm undertone. pernah coba pake lip cream yg pink/cool undertone agak nabrak meskipun ga terlalu keliatan. Next bakal cari yg cool undertone untuk lipcream2 yang pink"
T***i,belum nyoba semoga cocok
P***i,bisa bantu samarkan lingkaran hitam di mata serta buat lipstik sehari-hari 👍👍💕❤
Z***m,The best banget
N***y,barang nya bagus. ringan di bibir. tidak mudah hilang
a***e,"bagus, awet di bibir.. syang kering di bibir"
Ratih,BARANG BAGUS
Milly,"bagus, tdk kering bibirnya"
Gloria,Gloria
N***y,N***y
F***i,bagussss
R***n,pengiriman nya lamaaa padahal pengiriman dari Jakarta tapi tracking paketnya ada di Tegal
Ratu,warnanya cantik banget. pengiriman cepat. packing sangat aman.
Sheilla,suka bgt warnanya pink kalem lembut di bibir
Niken,"Kualitas dan warnanya bagus, exp date masih lama, packing rapi dan aman, pengiriman cepat, hanya lama diprosesnya, terima kasih"
Maylinda,gak sempet poto..lgsg saya pake ....selalu oke..Thanx seller
laily,laily
Indah,"Enak simple, gampang pakenya"
Loice,"Warnanya bagus banget buat ombre, soft banget"
Efrine,sebagus ituu🥲
Ibrahim,recomended seller
Diana,"bagus, apply di aq terlalu pucet tp bagus utk dasaran sih jd hrs di blend sm warna lain"
G***a,bagusss produknya original
W***i,Warnanya cocok skl. Kualitas juga oke
