Nama Akun,Ulasan
M***a,"lembut n melembabkan bibir, warnanya q suka"
I***e,Thank youu😍aku dapet special price 50k❤️❤️❤️
Agustin,Agustin
Bambang,"sip,sesuai pesanan...dapat harga diskon..."
Dwi,pas dapat diskon. pengiriman cepat. exp msh lama. packing amaaaan bgt..pake dos. warnanya bagus utk bibir gelap. trimakasih kak
P***i,"bagus, sesuai pesanan, Terima kasih seller"
bambang,bagussss
nurul,"Tekstur nya ringan banget. Pas, suka ❤️❤️❤️"
Ribbon,ini lbh murah dr toko orange n bagus bgt d bibir
Susi,Tekstur ringan di pakenya kulaitas bagus warna sesuai yg di inginkan
T***a,lembut di bibir
Rosalind,Terima kasih. sukses
m***a,terbaik
BERNADETA,warnanya baguss.. meskipun tdk tll tahan lama :) ttp tetep sukaaa.. seller jg top.. thanks yaa
A***a,barang sudah sampai dengan packing yg aman dan barang bagus. mau coba dulu semoga cocom dengan warna bibirnya
Feby,warna sesuai harapan. barang sesuai pesanan. pengiriman cepat
Dian,Bagus 👍🏻
i***i,cantik bangett
M***a,okeeyyy... so far so good. tengkyuuuu
N***i,lipstiknya bagus bahan ringan nyaman lembut
Sisca,puas dan beruntung bisa dapat harga promo. thank you 🙏🏻
O***a,"packingannya bagus, barang berkualitas"
E***a,"packingannya keren bngt, apalagi dikasih bublewrap mantap deh, tekstur nya ringan bngt dibibir, warna juga cocok bngt sama warna kulit aku, puas bngt deh"
D***a,warna yg ak pingin dari tahun lalu...akhir ya tersedia skrg...makasihh yaa warn nya cantikk bgtt...
Yulia,"enak ngga bikin kerinh, packing aman, cepat sampenya, makasih"
Ratnafuri,sy selalu pake makeover.warnanya ini sy suka dan tgl exp nya masih lama. sayangnya gak ada makeover lip palettenya ya.
nike,"BUWAGUS BANGET, WARNANYA CANTIK, EXPIRED BARANGNYA MASIH LAMA 🥰"
densy,sukak banget sama warnanya dan udah pake ini selama 4 tahun .. sukak banget
N***k,👍👍👍👍👍
Ifa,"teksturnya dipake lembut, paket rapi,"
Novia,seller fast respon
N***r,My fav lipstick.. 💋sllu suka dg produk make over ❤
h***a,"warnanya baguus banget untuk base ombre, punya yg hollywood baguuus jugaaa.."
Ttapia,Ttapia
Yasfini,Aaaaakkkkk gemas bgtttt dapet free😭😭😭😭
S***a,Barang ori....bagus..lipstick nya...Makasi
kayw,cakep warnanya💛🧡
B***g,"makasih seller,dapet harga flashsale.....masalah keorian mah ga usah di raguin lagi"
E***a,pokonya good recommended
Rofiatun,Terima kasih yaaaa. dikasi bonusss🥰
Suzan,Barang yang dikirim tidak lengkap tidak sesuai pesanan.
Tiurma,warnanya bagus
mayang,Makasih kak
D***n,"cepet banget sampainya tgl 26 pesan, 27 sampai barang jg sesuai pesanan enak dipakai"
f***y,warnanya baguuss
H***a,"Barang oke, respon penjual baik dna pengiriman oke"
F***a,Proses pesanan cepat. Awet seharian 💄. Packaging aman 🙏. Cocok buat bibir gelap. Gampang dibawa-bawa. Gratis hand sanitizer pula. Makasih byk ya
Asima,barang sudah diterima sesuai pesanan
I***a,lipstiknya bgs......
Lia,mantab!!!
Suci,Bagus
Tirta,respon pengiriman pengemasan produk sangabt baik
F***r,"Gercep, barang tiba dengan selamat 🖤"
E***a,barang oke. pengiriman agak lambat tapi aman
L***a,Warna bagus
T***y,"Barang sudah pasti original dan berkualitas ya guys. Terus pengemasan barangnya sangat baik jadi sampai dalam kondisi 100% baik. Seller sangat ramah bener dan responsif. Untuk urusan pengiriman gak ush diraguin lagi, cepet banget sampeknya. Makasih banyak ya Kakak Seller untuk bonus handsanitizernya sangat bermanfaat bangett 😍😍😍, Sukses dan Sehat selau kak 🙏🏻😁🙏🏻."
Y***a,"pengiriman cepat , fast respon , produk mulus dan tidak cacat"
Nuris,thx kakak
W***i,"suka banget warnanya.. ga mudah hilang, mudah pemakaiannya.."
Seti,Seti
Fry,"Semoga lokasi datanya disesuaikan dengan pengiriman ya, saya kira lokasinya di jakarta selatan berharap lebih cepat sampe karena sesama jakarta. soalnya di tulisan jaksel ternyata dikirimnya di dari tegal"
Nita,tks seller brgnya dah sampai. I love MAKE OVER
R***a,Kecewa. Order lipstik yg reguler dg harga mahal tapi yg dateng exp 2022.
R***f,suka banget sama warnanya
R***a,R***a
Nia,"cuma beli lipstik harga promo 1, tapi packingnya aman sekali.. terimakasih, suka sama produknya.."
THERESIA,tq
Fufu,Expnya uda deket cuma 6 bulan
E***a,pengiriman cepat... lipstiknya jg bgus... ORI... gak salah pilih warna... bs di pakai pas lebaran. makasih yaaaa
Purnama,alhamdulillah bagus. makasih ya..
Ivana,nice color
A***a,okCoverage-nya high. Awet seharian 💄. Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top.
Santika,makasii hadiahnya ya...cuma dapet hadiahnya warnanya gak sesuai....pengiriman lumayan lama...maklum karna gratis ongkir...sii.
Arifah,Awet seharian 💄. Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa.
a***e,Ringan lipstiknya sukaaakk
Tri,Awet seharian 💄. Proses pesanan cepat. Packaging rapi. Packaging aman 🙏.
Gumilar,Awet seharian 💄. Gampang dibawa-bawa.
martalia,Awet seharian 💄. Proses pesanan cepat. Packaging rapi. Respon penjualnya top. Packaging aman 🙏. Penjualnya ramah banget. Cocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai. Coverage-nya high.
D***n,Proses pesanan cepat
R***a,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Proses pesanan cepat. Aplikator mudah dipakai. Gampang dibawa-bawa. Packaging aman 🙏. Respon penjualnya top. Packaging rapi. Penjualnya ramah banget.
r***a,Packaging rapi. Respon penjualnya top.
sabilillah,sabilillah
Rosi,Barangnya baguuusss
m***a,Coverage-nya high. Awet seharian 💄. Gampang dibawa-bawa. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Aplikator mudah dipakai.
gak,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman 🙏.
N***a,"terluvvv,, exp datenya jg masih lama. yg 1 november 2023, yg 1 maret 2024.. thx kakk"
Defi,Cocok buat bibir gelap. Packaging aman 🙏. Penjualnya ramah banget. Respon penjualnya top.
Bagas,"packing bagus banget ,"
Firdausy,Awet seharian 💄. Coverage-nya high. Gampang dibawa-bawa.
I***a,Packaging aman 🙏. Packaging rapi. Respon penjualnya top.
V***o,selalu suka dg lipstik ini tp kenapa yg truffles 211 kayak stop produksi 🙁 pdhl itu tipe yg paling saya suka.
R***a,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
P***i,Coverage-nya high. Cocok buat bibir gelap. Penjualnya ramah banget. Awet seharian 💄. Gampang dibawa-bawa. Packaging rapi. Aplikator mudah dipakai. Packaging aman 🙏. Proses pesanan cepat. Respon penjualnya top. Coverage-nya high. Aplikator mudah dipakai. Penjualnya ramah banget. Awet seharian 💄. Gampang dibawa-bawa. Packaging aman 🙏. Proses pesanan cepat. Packaging rapi. Cocok buat bibir gelap. Respon penjualnya top.
Satria,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Proses pesanan cepat. Aplikator mudah dipakai. Penjualnya ramah banget. Gampang dibawa-bawa. Packaging rapi. Packaging aman 🙏. Respon penjualnya top.
Chie,Aplikator mudah dipakai. Gampang dibawa-bawa. Packaging aman 🙏. Coverage-nya high.
B***a,Coverage-nya high Proses pesanan cepat Packaging aman 🙏 Penjualnya ramah banget Cocok buat bibir gelap Aplikator mudah dipakai
ellysa,Gampang dibawa-bawa. Packaging rapi. Aplikator mudah dipakai. Packaging aman 🙏.
Nurcahaya,Cocok buat bibir gelap. Gampang dibawa-bawa. Packaging aman 🙏. Packaging rapi. Aplikator mudah dipakai. Proses pesanan cepat.
Djuni,Barang sesuai foto disply dengan packing aman dan rapi serta pelayanan ramah dan cepat
N***g,Packaging aman 🙏. Proses pesanan cepat. Packaging rapi.
Wily,Proses pesanan cepat. Packaging rapi. Cocok buat bibir gelap.
ita,Coverage-nya high. Awet seharian 💄. Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa. Penjualnya ramah banget. Packaging aman 🙏. Respon penjualnya top. Packaging rapi. Proses pesanan cepat.
H***a,Coverage-nya high. Awet seharian 💄. Gampang dibawa-bawa. Cocok buat bibir gelap. Proses pesanan cepat. Aplikator mudah dipakai. Packaging rapi. Respon penjualnya top. Packaging aman 🙏. Penjualnya ramah banget.
Desi,keren dan cpt datangnya
Atun,"Produk ori. Exp masih 1thn. seneng bangeettt.... lipstik ini fav banget karena ringan, warna tahan lama dan praktis ☺ makasiih make oveer..."
Anzila,syukaaaaa
Shinta,Aplikator mudah dipakai Gampang dibawa-bawa Coverage-nya high
S***a,Cocok buat bibir gelap
K***a,Awet seharian 💄. Cocok buat bibir gelap. Gampang dibawa-bawa.
Ary,Coverage-nya high. Cocok buat bibir gelap. Aplikator mudah dipakai. Awet seharian 💄. Gampang dibawa-bawa.
Elma,Coverage-nya high. Gampang dibawa-bawa.
Puji,Coverage-nya high. Cocok buat bibir gelap. Aplikator mudah dipakai. Awet seharian 💄. Gampang dibawa-bawa.
Iskhak,superb 60k expnya 11bln lagi.. pesen malam besok siang udh nyampe puwokerto.. juara nih officialstore makeover👍Cocok buat bibir gelap. Aplikator mudah dipakai. Gampang dibawa-bawa. Awet seharian 💄. Coverage-nya high.
jihan,.
Pamela,warnanya baguuussss bgt
Tirta,Aplikator mudah dipakai. Gampang dibawa-bawa. Cocok buat bibir gelap. Coverage-nya high.
Sony,Aplikator mudah dipakai.
Herina,Awet seharian 💄.
Amalia,Amalia
ratu,Aplikator mudah dipakai. Awet seharian 💄.
Noorfi,Coverage-nya high.
zunicha,"warna pucet ternyata, formula si oke, cuma g enak diapliktor sm tekannya"
NUR,Awet seharian 💄. Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa. Coverage-nya high.
Indri,"Pengiriman cepat, pengemasan aman, warna lipstik bagus banget. Dipakai nyaman tidak kering di bibir."
s***a,Gampang dibawa-bawa.
Tyas,Tyas
Melisa,Cocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai. Coverage-nya high.
f***y,Gampang dibawa-bawa.
R***a,"Suka sih, tipe mate tp ga bkin kering bibir. Pengirimannya kerennnn bgt, malem order, besoknya udh nyampe dong , dpt harga diskon pula.Coverage-nya high. Aplikator mudah dipakai. Gampang dibawa-bawa. Cocok buat bibir gelap. Awet seharian 💄."
A***a,"Creamy agak velvety setelah beberapa menit. Bukan tipe yang stay dan transferproof jadi agak PR kalau pake masker, tapi warnanya cantik banget dan waktu mulai ilang nggak patchy, cuma pudar rata perlahan. Buat base ombre juga mantap 💪🏻"
Novi,"warna lipstiknya sesuai harapan, mana dpet bonus lagi makasih make over selalu setia pakai make overAwet seharian 💄. Gampang dibawa-bawa. Cocok buat bibir gelap. Aplikator mudah dipakai. Coverage-nya high."
Sri,Gampang dibawa-bawa.
R***i,"cocok buat cewek, warna kalem"
A***e,Awet seharian 💄
Ayda,Gampang dibawa-bawa. Aplikator mudah dipakai.
Putri,Coverage-nya high.
Leti,Gampang dibawa-bawa.
R***a,Tidak sesuai. Kecewa
j***o,"barang sesuai pesanan,terima kasih"
Nila,Coverage-nya high. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
Aditya,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
d***h,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
R***a,Cocok buat bibir gelap. Gampang dibawa-bawa.
Chima,Yeay finally dateng juga. Harga promo mantap. Suka sama warnanya
Yani,Awet seharian 💄. Aplikator mudah dipakai. Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa.
susanti,Coverage-nya high Awet seharian 💄 Cocok buat bibir gelap Aplikator mudah dipakai Gampang dibawa-bawa
paula,Awet seharian 💄.  tapi warna ternyata tdk cocok buat ku salah pilih atau salah kirim saya pilih yang warna merah gelap yang di kirim pink ? but its okay.
Likamalika,Coverage-nya high. Cocok buat bibir gelap. Aplikator mudah dipakai. Awet seharian 💄. Gampang dibawa-bawa.
Upik,"warnanya cakep, dan ga transfer banget ke masker, lumayan nih"
S***a,Awet seharian 💄 Gampang dibawa-bawa Aplikator mudah dipakai
Amelya,bagus banget 🥲❤️‍🔥 Awet seharian 💄 Aplikator mudah dipakai
l***s,Cocok buat bibir gelap. Coverage-nya high. Gampang dibawa-bawa.
F***s,mntp sesuai pesanan dan pcking oke nxt bl lg dsni inimah
bella,bella
Ayulina,"sebenernya warna pas swatch di tangan bagus, pas di aplikasikan ke bibir, lha kok gak sebagus swatch di tangan? coverage kurang baik"
T***a,kecewa. tidak sesuai
v***a,Cocok buat bibir gelap. Aplikator mudah dipakai. Gampang dibawa-bawa.
Ririh,"Untuk dalem ombre bagus , base ombre nya yg sky"
P***a,Gampang dibawa-bawa. Aplikator mudah dipakai.
Dyana,Coverage-nya high. Gampang dibawa-bawa. Aplikator mudah dipakai. Awet seharian 💄.
Sri,Cocok buat bibir gelap.
M***d,Aplikator mudah dipakai. Gampang dibawa-bawa. Cocok buat bibir gelap. Coverage-nya high. Awet seharian 💄.
Syenni,Aplikator mudah dipakai
h***a,"suka banget, warnanya ga kecewa, ringan banget dibibir aku"
L***a,pengiriman cepat.. dapat sample bedaknya sukaaa bangeet... terimakasih make over memang the best produck... Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Awet seharian 💄. Aplikator mudah dipakai.
Hertanti,Pengiriman cepat..packing rapi👍👍
Sariyochebet,Coverage-nya high. Awet seharian 💄. Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa.
l***a,Cocok buat bibir gelap. Aplikator mudah dipakai. Gampang dibawa-bawa.
Tristiana,bagus warnanya di bibir saya. terima kasih dapat free lipstiknya yaCocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai.
R***l,"Seneng banget dikasih free blush, thanks! 🥺♥️"
A***a,Coverage-nya high. Awet seharian 💄. Cocok buat bibir gelap. Aplikator mudah dipakai. Gampang dibawa-bawa.
D***o,Dapat bonus nya
L***a,pesen lipstik dapet blush on..hepi dehh
Retno,Awet seharian 💄. Aplikator mudah dipakai. Coverage-nya high. Gampang dibawa-bawa.
Alya,Beli lipstik1 tp dapet bonus blush😭😭❤️thankyou somuch make over❤️😭
Jasmine,Gampang dibawa-bawa.
R***o,Gampang dibawa-bawa
Reny,Barang sampai dlm 1 hari
a***a,sepeti warna asli bibir. matte tp ga bkin keringAwet seharian 💄. Coverage-nya high. Gampang dibawa-bawa.
Edi,cocok kk
delfiora,Coverage-nya high Cocok buat bibir gelap
Anita,Barangnya sesuai pengiriman cepat seller ramah pokoknya buaaaguuss
T***n,Awet seharian 💄 Gampang dibawa-bawa
Mae,👍
Anita,mantaaaapp👍👍👍👍Cocok buat bibir gelap. Gampang dibawa-bawa. Coverage-nya high. Awet seharian 💄. Aplikator mudah dipakai.
R***n,Awet seharian 💄
Intan,lipstik oke. warna oke. barang aman. meski packagingnya kurang.
W***n,"bener bener bata, thank you seller ini nomor 209"
Desi,barang sampe thank uCoverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Gampang dibawa-bawa. Aplikator mudah dipakai.
K***a,Gampang dibawa-bawa. Aplikator mudah dipakai.
sirrin,"Aplikator mudah dipakai, tapi g terlalu awet si."
E***o,Coverage-nya high. Aplikator mudah dipakai. Gampang dibawa-bawa.
E***o,Awet seharian 💄. Coverage-nya high. Gampang dibawa-bawa. Aplikator mudah dipakai.
nurulrizky,"udh dapet harga murah abis,, dapet free blush on😍😍🥰🥰 terimakasih"
A***a,Gampang dibawa-bawa. Awet seharian 💄.
Almarita,cakep harganya cuma pilih karena diskon. warnanya cakep coklat ada hint ungu gt agak memberi kesan judes hehehe.Gampang dibawa-bawa. Aplikator mudah dipakai.
Tina,bagus pack nya jg smua amanCoverage-nya high.
Fitri,Cocok buat bibir gelap. Coverage-nya high. Gampang dibawa-bawa. Aplikator mudah dipakai.
Mayunita,Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai.
ros,Aplikator mudah dipakai. Gampang dibawa-bawa. Coverage-nya high.
S***a,mantap🥰
Neni,Cocok buat bibir gelap.
Dania,Cocok buat bibir gelap. Gampang dibawa-bawa.
t***a,"packingnga aman dan pengirimannya lumayan cepet. Gampang dibawa-bawa,Aplikator mudah dipakai, cuman di kutnag nge cover bibir gelap dan dia ga transferproof untuk teksturnya creamy bgt"
yeni,"barang ny ori, sesuai pesanan puas deh pokok ny, dpet harga promo lg.. mksh seller👍"
