Nama Akun,Ulasan
W***n,"warna nya cocok sama tone sawo matang, agak lengket di bibir. sebenernya barangnya ga terlalu masalah sih, cuma mau komplen dari pihak ekspedisi. kurir tidak ramah"
e***a,mantul....
Aisah,Aisah
A***h,warnanya bagus dan cocok di kulit aku. terima kasih
Nurul,Nurul
E***g,"Warnanya sesuai, teksurnya ringan, ga bikin bibir kering dan ga transproof💕💕💕❤️😍 Hasil akhir glossy"
L***y,L***y
A***h,warna cocok dengan kulit yang agak kuning agak matte tp ga bikin kering thanks
Hartika,gak pernah kecewa SM makeover deh... top bgt... bli lipstik dpt liquid foundation 😍 walaupun mau expd tp okelah... seenggaknya gak di buang bgitu saja SM makeover.... terimakasih ka
Mellyana,"Terima kasih diskonnya, barangnya agak lama datang. Warnanya lebih ke pink."
syalililulu,bagus dan beneran tahan lama dinpake makan pun enak banget ga ilang
Ratih,Good
andrea,lip warna bagooooeeesssssss
F***a,"warnanya cakep, tp ternyata lengket dan gak terlalu glazy di saya. klo untuk ketahanan mantep sih."
I***a,Produk di terima dalam keadaan baik. Terima kasih.
b***k,bagus banget warnanya..aku suka ringan pula di bibir sip pokoknya
m***h,"baru mau coba pake yg ini mudah mudahan cocok sudah lama kepingin tpi nunggu diskon dulu,pas dapat potongan banyak langsung deh beli"
L***s,"warnanya okee,glosi tp waterproof"
Fitria,"pembelian pertama yg pompous, menurutku agak gelap..jd aku beli lagi yg lover...dan ini warnanya baguuusss...cocok...tp overall memang bagus semua tahan lama..di ombre jg cocok nih"
A***s,Warnanyaaa cerahhhhh
R***i,"warna cantik, hasil akhir creamy dan ringan"
fitria,"warnanya cantik, ringan dipakai,tahan lama juga. ❤️"
Kar,Kar
F***a,warnanya cantikkk. tahan lama bngt. love bngt deeeh 💕
christina,produk original
yanti,"nambah lagi varian warna lipstik make over nya, jatuh cinta bgd sama warna""nya 😘😘😘"
D***n,Akhirnyaaa nemu shade yg aku mauuuu dpt harga promo 85rb makasih
D***i,sesuai pesanan. terimakasih 🙏
Dewi,produknya masih lengket d bibir.. mirip kaya super matte ink M****line
O***e,"Sdh diterima dgn baik. Transfer proof emang tapi warnanya agak bold cenderung gelap di kulit aku, tapi cantik koq. Makasi ya 🙏"
G***a,"warna pink mauve, next pengen beli yg lover klo diskon lagi, hasil dbibir glossy"
Wynona,so far so gewdd ketahanannya boleh diuji inimah 😎
Isnaini,"pas pertama dibuka, di kuasnya ada item2 gitu, macem kena tinta eyeliner, akhirnya dilap sampe bersih."
Apmelia,"warnanya bagus dibibir saya yg warna dasarnya agak ungu gt. jatohnya jd natural gt di bibir, suka deh dan cocok buat sehari2."
Ryana,"suka banget warna nya, gak bikin kering, tahan lama"
Rania,"untuk kulit bibirku kurang cocok,cenderung kering & jadi bruntusan"
nuyfaradilla,good
Nila,Nila
nana,Bagus. Ringan dibibir.
G***a,"Pertama kali coba masih ada kerasa lengketnya, tp cuma sedikit banget. Terus pas udah diaplikasiin kerasa ringan ga berat, stainnya juga mantep. Yg mau beli ini recommend sih"
E***H,E***H
Reny,Warnanya bagusss
N***a,"Warna banyak ragam, saya pilih yang cocok dengan saya. Tahan lama dari awal masuk kantor, bfast, maksi, sampai pulang."
A***a,"baguus, di aku yg bibirnya kering lumayan cocok ga crack gituuu. dipake buat makan berat yg ilang cm glazednya aja, so far ok banget🥹"
P***i,"Aweeeet banget dipake makan sehati an pun tetep stay, dan coverage nya bagus, ga se oily mybl vinyl"
O***y,bahan keren sip
Naufal,Alhamdulillah istri saya suka. Terima kasih
